Team,G,R,RPG,RALLOW,RALLOWPG
A&M-Corpus Christi (Southland),9,19,2.11,73,8.111111111
Abilene Christian (Southland),9,34,3.78,46,5.111111111
Akron (MAC),10,58,5.8,60,6
Alabama (SEC),9,81,9,18,2
Alabama A&M (SWAC),15,69,4.6,65,4.333333333
Alabama St. (SWAC),8,54,6.75,37,4.625
Albany (NY) (America East),12,45,3.75,49,4.083333333
Alcorn (SWAC),9,29,3.22,49,5.444444444
Appalachian St. (Sun Belt),11,53,4.82,28,2.545454545
Arizona (Pac-12),10,51,5.1,22,2.2
Arizona St. (Pac-12),10,92,9.2,41,4.1
Ark.-Pine Bluff (SWAC),10,8,0.8,73,7.3
Arkansas (SEC),9,60,6.67,15,1.666666667
Army West Point (Patriot),10,47,4.7,65,6.5
Auburn (SEC),10,74,7.4,21,2.1
Austin Peay (OVC),10,60,6,40,4
Ball St. (MAC),11,33,3,34,3.090909091
Baylor (Big 12),11,47,4.27,43,3.909090909
Belmont (OVC),10,47,4.7,32,3.2
Bethune-Cookman (MEAC),10,23,2.3,48,4.8
Binghamton (America East),9,43,4.78,43,4.777777778
Boise St. (MWC),8,38,4.75,29,3.625
Boston College (ACC),10,29,2.9,75,7.5
Boston U. (Patriot),9,48,5.33,25,2.777777778
Bowling Green (MAC),8,35,4.38,44,5.5
Bradley (MVC),10,60,6,74,7.4
Brown (Ivy League),7,35,5,30,4.285714286
Bryant (NEC),9,8,0.89,50,5.555555556
Bucknell (Patriot),9,28,3.11,32,3.555555556
Buffalo (MAC),10,25,2.5,67,6.7
Butler (Big East),10,35,3.5,42,4.2
BYU (WCC),8,49,6.13,37,4.625
Cal Poly (Big West),8,31,3.88,41,5.125
Cal St. Fullerton (Big West),10,44,4.4,44,4.4
California (Pac-12),10,39,3.9,41,4.1
Campbell (Big South),10,29,2.9,73,7.3
Canisius (MAAC),11,35,3.18,95,8.636363636
Central Ark. (Southland),10,60,6,44,4.4
Central Conn. St. (NEC),9,46,5.11,37,4.111111111
Central Mich. (MAC),10,44,4.4,62,6.2
Charleston So. (Big South),12,49,4.08,61,5.083333333
Charlotte (C-USA),8,37,4.63,50,6.25
Chattanooga (SoCon),9,63,7,26,2.888888889
Cleveland St. (Horizon),8,28,3.5,60,7.5
Coastal Caro. (Sun Belt),10,57,5.7,11,1.1
Col. of Charleston (CAA),10,43,4.3,48,4.8
Colgate (Patriot),9,34,3.78,31,3.444444444
Colorado St. (MWC),8,42,5.25,16,2
Columbia (Ivy League),10,30,3,52,5.2
Coppin St. (MEAC),5,12,2.4,52,10.4
Cornell (Ivy League),9,23,2.56,72,8
Creighton (Big East),9,49,5.44,55,6.111111111
CSU Bakersfield (WAC),7,31,4.43,32,4.571428571
CSUN (Big West),8,34,4.25,51,6.375
Dartmouth (Ivy League),10,30,3,59,5.9
Dayton (Atlantic 10),9,40,4.44,58,6.444444444
Delaware (CAA),8,44,5.5,43,5.375
Delaware St. (MEAC),15,45,3,115,7.666666667
DePaul (Big East),9,42,4.67,19,2.111111111
Detroit Mercy (Horizon),9,18,2,46,5.111111111
Drake (MVC),9,46,5.11,28,3.111111111
Drexel (CAA),10,61,6.1,56,5.6
Duke (ACC),10,34,3.4,26,2.6
East Carolina (AAC),9,67,7.44,36,4
Eastern Ill. (OVC),9,47,5.22,46,5.111111111
Eastern Ky. (OVC),8,44,5.5,43,5.375
Elon (CAA),8,49,6.13,32,4
ETSU (SoCon),9,59,6.56,29,3.222222222
Evansville (MVC),9,34,3.78,36,4
Fairfield (MAAC),11,63,5.73,44,4
Fairleigh Dickinson (NEC),11,32,2.91,49,4.454545455
FGCU (ASUN),9,24,2.67,12,1.333333333
FIU (C-USA),9,35,3.89,24,2.666666667
Fla. Atlantic (C-USA),10,18,1.8,39,3.9
Florida (SEC),10,76,7.6,12,1.2
Florida A&M (MEAC),13,31,2.38,73,5.615384615
Florida St. (ACC),11,82,7.45,21,1.909090909
Fordham (Atlantic 10),9,50,5.56,59,6.555555556
Fresno St. (MWC),11,53,4.82,47,4.272727273
Furman (SoCon),9,32,3.56,80,8.888888889
Ga. Southern (Sun Belt),13,77,5.92,52,4
Gardner-Webb (Big South),13,88,6.77,65,5
George Mason (Atlantic 10),8,23,2.88,47,5.875
George Washington (Atlantic 10),9,50,5.56,38,4.222222222
Georgetown (Big East),8,32,4,56,7
Georgia (SEC),10,105,10.5,19,1.9
Georgia St. (Sun Belt),10,25,2.5,70,7
Georgia Tech (ACC),9,70,7.78,54,6
Grambling (SWAC),10,66,6.6,22,2.2
Grand Canyon (WAC),10,40,4,34,3.4
Green Bay (Horizon),9,23,2.56,57,6.333333333
Hampton (Big South),16,91,5.69,66,4.125
Hartford (America East),6,14,2.33,46,7.666666667
Harvard (Ivy League),9,32,3.56,38,4.222222222
Hawaii (Big West),9,71,7.89,39,4.333333333
Hofstra (CAA),8,20,2.5,77,9.625
Holy Cross (Patriot),13,32,2.46,64,4.923076923
Houston (AAC),10,32,3.2,36,3.6
Houston Baptist (Southland),10,37,3.7,48,4.8
Howard (MEAC),9,31,3.44,86,9.555555556
Idaho St. (Big Sky),11,31,2.82,37,3.363636364
Illinois (Big Ten),9,70,7.78,50,5.555555556
Illinois St. (MVC),10,41,4.1,75,7.5
Incarnate Word (Southland),10,11,1.1,71,7.1
Indiana (Big Ten),9,49,5.44,14,1.555555556
Indiana St. (MVC),10,55,5.5,36,3.6
Iona (MAAC),8,13,1.63,49,6.125
Iowa (Big Ten),9,17,1.89,52,5.777777778
Iowa St. (Big 12),8,20,2.5,28,3.5
IUPUI (Horizon),10,30,3,61,6.1
Jackson St. (SWAC),12,24,2,91,7.583333333
Jacksonville (ASUN),8,33,4.13,32,4
Jacksonville St. (OVC),8,58,7.25,37,4.625
James Madison (CAA),7,36,5.14,18,2.571428571
Kansas (Big 12),10,28,2.8,69,6.9
Kennesaw St. (ASUN),8,35,4.38,60,7.5
Kent St. (MAC),10,42,4.2,43,4.3
Kentucky (SEC),11,77,7,38,3.454545455
La Salle (Atlantic 10),10,23,2.3,69,6.9
La.-Monroe (Sun Belt),9,32,3.56,66,7.333333333
Lafayette (Patriot),10,27,2.7,52,5.2
Lamar University (Southland),11,25,2.27,64,5.818181818
Lehigh (Patriot),12,53,4.42,53,4.416666667
Liberty (ASUN),10,28,2.8,34,3.4
Lipscomb (ASUN),10,54,5.4,28,2.8
LIU Brooklyn (NEC),10,28,2.8,53,5.3
Long Beach St. (Big West),9,57,6.33,43,4.777777778
Longwood (Big South),11,54,4.91,25,2.272727273
Louisiana (Sun Belt),11,98,8.91,8,0.727272727
Louisiana Tech (C-USA),11,76,6.91,39,3.545454545
Louisville (ACC),9,38,4.22,29,3.222222222
Loyola Chicago (MVC),9,56,6.22,7,0.777777778
Loyola Marymount (WCC),8,27,3.38,23,2.875
LSU (SEC),11,96,8.73,23,2.090909091
Maine (America East),12,37,3.08,71,5.916666667
Manhattan (MAAC),9,54,6,54,6
Marist (MAAC),11,45,4.09,50,4.545454545
Marshall (C-USA),10,57,5.7,28,2.8
Maryland (Big Ten),10,37,3.7,47,4.7
Massachusetts (Atlantic 10),10,23,2.3,42,4.2
McNeese (Southland),11,38,3.45,31,2.818181818
Memphis (AAC),9,42,4.67,35,3.888888889
Mercer (SoCon),11,42,3.82,75,6.818181818
Miami (OH) (MAC),10,34,3.4,39,3.9
Michigan (Big Ten),9,38,4.22,30,3.333333333
Michigan St. (Big Ten),9,48,5.33,57,6.333333333
Middle Tenn. (C-USA),10,26,2.6,42,4.2
Minnesota (Big Ten),7,43,6.14,24,3.428571429
Mississippi St. (SEC),9,54,6,25,2.777777778
Mississippi Val. (SWAC),9,18,2,95,10.55555556
Missouri (SEC),10,63,6.3,13,1.3
Missouri St. (MVC),10,36,3.6,34,3.4
Monmouth (MAAC),10,29,2.9,34,3.4
Montana (Big Sky),10,38,3.8,63,6.3
Morehead St. (OVC),9,23,2.56,88,9.777777778
Morgan St. (MEAC),8,22,2.75,59,7.375
Mount St. Mary's (NEC),9,38,4.22,40,4.444444444
Murray St. (OVC),10,53,5.3,55,5.5
N.C. A&T (MEAC),13,19,1.46,93,7.153846154
N.C. Central (MEAC),9,23,2.56,64,7.111111111
NC State (ACC),12,47,3.92,42,3.5
Nebraska (Big Ten),9,78,8.67,33,3.666666667
Nevada (MWC),11,41,3.73,39,3.545454545
New Mexico (MWC),14,71,5.07,64,4.571428571
New Mexico St. (WAC),9,66,7.33,37,4.111111111
Niagara (MAAC),7,8,1.14,42,6
Nicholls St. (Southland),10,37,3.7,17,1.7
Norfolk St. (MEAC),9,42,4.67,48,5.333333333
North Carolina (ACC),8,39,4.88,37,4.625
North Dakota (Summit League),10,25,2.5,64,6.4
North Dakota St. (Summit League),8,39,4.88,41,5.125
North Florida (ASUN),12,57,4.75,48,4
North Texas (C-USA),9,76,8.44,23,2.555555556
Northern Colo. (Big Sky),9,11,1.22,73,8.111111111
Northern Ill. (MAC),10,51,5.1,25,2.5
Northern Ky. (Horizon),8,25,3.13,38,4.75
Northwestern (Big Ten),9,51,5.67,25,2.777777778
Northwestern St. (Southland),8,23,2.88,36,4.5
Notre Dame (ACC),10,31,3.1,50,5
Oakland (Horizon),8,29,3.63,62,7.75
Ohio (MAC),9,46,5.11,35,3.888888889
Ohio St. (Big Ten),8,31,3.88,20,2.5
Oklahoma (Big 12),10,84,8.4,15,1.5
Oklahoma St. (Big 12),10,56,5.6,34,3.4
Ole Miss (SEC),9,38,4.22,20,2.222222222
Omaha (Summit League),10,22,2.2,87,8.7
Oregon (Pac-12),9,67,7.44,46,5.111111111
Oregon St. (Pac-12),10,46,4.6,23,2.3
Pacific (WCC),8,18,2.25,46,5.75
Penn (Ivy League),10,22,2.2,34,3.4
Penn St. (Big Ten),9,24,2.67,41,4.555555556
Pittsburgh (ACC),9,28,3.11,89,9.888888889
Portland St. (Big Sky),9,35,3.89,42,4.666666667
Prairie View (SWAC),9,44,4.89,44,4.888888889
Presbyterian (Big South),9,33,3.67,69,7.666666667
Princeton (Ivy League),9,23,2.56,86,9.555555556
Providence (Big East),10,28,2.8,40,4
Purdue (Big Ten),12,73,6.08,54,4.5
Purdue Fort Wayne (Summit League),10,35,3.5,47,4.7
Quinnipiac (MAAC),10,33,3.3,46,4.6
Radford (Big South),10,53,5.3,28,2.8
Rhode Island (Atlantic 10),10,32,3.2,58,5.8
Rider (MAAC),11,6,0.55,90,8.181818182
Robert Morris (NEC),8,25,3.13,42,5.25
Rutgers (Big Ten),10,52,5.2,47,4.7
Sacramento St. (Big Sky),9,52,5.78,56,6.222222222
Sacred Heart (NEC),15,66,4.4,74,4.933333333
Saint Francis (PA) (NEC),9,49,5.44,31,3.444444444
Saint Joseph's (Atlantic 10),13,50,3.85,42,3.230769231
Saint Louis (Atlantic 10),9,19,2.11,53,5.888888889
Saint Mary's (CA) (WCC),11,29,2.64,80,7.272727273
Saint Peter's (MAAC),11,29,2.64,78,7.090909091
Sam Houston St. (Southland),10,26,2.6,36,3.6
Samford (SoCon),11,29,2.64,50,4.545454545
San Diego (WCC),11,33,3,85,7.727272727
San Diego St. (MWC),9,33,3.67,45,5
San Jose St. (MWC),10,36,3.6,49,4.9
Santa Clara (WCC),12,43,3.58,69,5.75
Savannah St. (MEAC),8,16,2,55,6.875
Seattle U (WAC),10,71,7.1,39,3.9
Seton Hall (Big East),9,37,4.11,56,6.222222222
SFA (Southland),10,44,4.4,27,2.7
Siena (MAAC),12,40,3.33,93,7.75
SIUE (OVC),10,51,5.1,52,5.2
South Alabama (Sun Belt),8,43,5.38,35,4.375
South Carolina (SEC),9,55,6.11,30,3.333333333
South Carolina St. (MEAC),8,7,0.88,65,8.125
South Dakota (Summit League),10,79,7.9,46,4.6
South Dakota St. (Summit League),10,59,5.9,44,4.4
South Fla. (AAC),10,23,2.3,38,3.8
Southeast Mo. St. (OVC),10,64,6.4,36,3.6
Southeastern La. (Southland),12,63,5.25,44,3.666666667
Southern Ill. (MVC),9,57,6.33,34,3.777777778
Southern Miss. (C-USA),10,60,6,26,2.6
Southern U. (SWAC),8,17,2.13,43,5.375
Southern Utah (Big Sky),8,24,3,62,7.75
St. Bonaventure (Atlantic 10),10,20,2,75,7.5
St. John's (NY) (Big East),9,27,3,49,5.444444444
Stanford (Pac-12),8,44,5.5,22,2.75
Stetson (ASUN),11,29,2.64,68,6.181818182
Stony Brook (America East),7,25,3.57,45,6.428571429
Syracuse (ACC),8,31,3.88,41,5.125
Tennessee (SEC),10,75,7.5,18,1.8
Tennessee St. (OVC),13,54,4.15,73,5.615384615
Tennessee Tech (OVC),8,38,4.75,49,6.125
Texas (Big 12),8,52,6.5,14,1.75
Texas A&M (SEC),11,74,6.73,28,2.545454545
Texas Southern (SWAC),8,12,1.5,39,4.875
Texas St. (Sun Belt),8,55,6.88,29,3.625
Texas Tech (Big 12),10,65,6.5,23,2.3
Toledo (MAC),9,37,4.11,47,5.222222222
Towson (CAA),8,40,5,36,4.5
Troy (Sun Belt),10,52,5.2,32,3.2
Tulsa (AAC),10,37,3.7,46,4.6
UAB (C-USA),10,65,6.5,73,7.3
UC Davis (Big West),8,54,6.75,29,3.625
UC Riverside (Big West),10,33,3.3,74,7.4
UC Santa Barbara (Big West),8,32,4,31,3.875
UCF (AAC),8,27,3.38,31,3.875
UCLA (Pac-12),9,71,7.89,9,1
UConn (AAC),8,27,3.38,32,4
UIC (Horizon),10,48,4.8,91,9.1
UMass Lowell (America East),10,37,3.7,46,4.6
UMBC (America East),12,48,4,39,3.25
UMES (MEAC),8,16,2,77,9.625
UMKC (WAC),10,62,6.2,15,1.5
UNC Greensboro (SoCon),10,41,4.1,55,5.5
UNCW (CAA),10,60,6,62,6.2
UNI (MVC),9,44,4.89,46,5.111111111
UNLV (MWC),10,68,6.8,24,2.4
USC Upstate (Big South),11,58,5.27,16,1.454545455
UT Arlington (Sun Belt),10,53,5.3,29,2.9
UT Martin (OVC),10,64,6.4,33,3.3
Utah (Pac-12),10,40,4,60,6
Utah St. (MWC),10,45,4.5,69,6.9
Utah Valley (WAC),10,53,5.3,58,5.8
UTEP (C-USA),9,54,6,100,11.11111111
UTSA (C-USA),10,25,2.5,37,3.7
Valparaiso (MVC),9,33,3.67,51,5.666666667
Villanova (Big East),10,40,4,56,5.6
Virginia (ACC),9,39,4.33,40,4.444444444
Virginia Tech (ACC),9,77,8.56,11,1.222222222
Wagner (NEC),12,52,4.33,102,8.5
Washington (Pac-12),9,47,5.22,18,2
Weber St. (Big Sky),10,35,3.5,83,8.3
Western Caro. (SoCon),18,63,3.5,101,5.611111111
Western Ill. (Summit League),8,35,4.38,33,4.125
Western Ky. (C-USA),8,37,4.63,26,3.25
Western Mich. (MAC),18,66,3.67,85,4.722222222
Wichita St. (AAC),10,64,6.4,32,3.2
Winthrop (Big South),10,56,5.6,55,5.5
Wisconsin (Big Ten),8,65,8.13,12,1.5
Wright St. (Horizon),9,44,4.89,69,7.666666667
Yale (Ivy League),11,42,3.82,40,3.636363636
Youngstown St. (Horizon),11,12,1.09,62,5.636363636
